NAME;;wyne;yellow;v.pale;pale;p.gold;gold;o.gold;f.gold;bronze;p.amber;amber;f.amber;red;sherry;AROMA;PEAT;SWEET;LIGHT;FRESH;DRY;FRUIT;GRASS;SEA;SHERRY;SPICY;RICH;soft;med;full;round;smooth;light;firm;oily;full;dry;sherry;big;light;smooth;clean;fruit;grass;smoke;sweet;spice;oil;salt;arome;full;dry;warm;big;light;smooth;clean;fruit;grass;smoke;sweet;spice;oil;salt;arome;ling;long;very;quick;AGE;DIST;SCORE;%;REGION;DISTRICT;islay;midland;spey;east;west;north ;lowland;campbell;islands
Aberfeldy;Aberfeldy;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;-9;2;69;40;HIGH;MIDLAND;0;1;0;0;0;0;0;0;0
Aberlour;Aberlour;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;12;4;83;43;HIGH;SPEY;0;0;1;0;0;0;0;0;0
Ardberg;Ardberg;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;4;85;40;ISLAY;SOUTH;1;0;0;0;0;0;0;0;0
Ardmore;Ardmore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;66;46;HIGH;SPEY;0;0;1;0;0;0;0;0;0
Auchentoshan;Auchentosh;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;5;85;40;LOW;WEST;0;0;0;0;0;0;1;0;0
Aultmore;Aultmore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;3;75;40;HIGH;SPEY;0;0;1;0;0;0;0;0;0
Balblair;Balblair;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;10;3;76;40;HIGH;NORTH;0;0;0;0;0;1;0;0;0
Balmenach;Balmenach;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-9;3;69;40;HIGH;SPEY;0;0;1;0;0;0;0;0;0
Balvenie;Balvenie;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;-9;4;85;40;HIGH;SPEY;0;0;1;0;0;0;0;0;0
Banff;Banff;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;-9;2;66;40;HIGH;SPEY;0;0;1;0;0;0;0;0;0
Ben Nevis;Ben Nevis;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-9;1;55;40;HIGH;WEST;0;0;0;0;1;0;0;0;0
Benriach;Benriach;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-9;3;69;40;HIGH;SPEY;0;0;1;0;0;0;0;0;0
Benrinnes;Benrinnes;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-9;3;78;40;HIGH;SPEY;0;0;1;0;0;0;0;0;0
Benromach;Benromach;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;-9;3;75;40;HIGH;SPEY;0;0;1;0;0;0;0;0;0
Bladnoch;Bladnoch;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;4;85;40;LOW ;BORDERS;0;0;0;0;0;0;1;0;0
Blair Athol;Blair Atho;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;8;3;75;40;HIGH;MIDLAND;0;1;0;0;0;0;0;0;0
Bowmore;Bowmore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;10;4;81;40;ISLAY;LOCH;1;0;0;0;0;0;0;0;0
Brackla;Brackla;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-9;3;77;40;HIGH;SPEY;0;0;1;0;0;0;0;0;0
Bruichladdich;Bruichladd;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;76;40;ISLAY;LOCH;1;0;0;0;0;0;0;0;0
Bunnahabhain;Bunnahabha;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;3;77;40;ISLAY;NORTH;1;0;0;0;0;0;0;0;0
Caol Ila;Caol Ila;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;12;4;77;40;ISLAY;NORTH;1;0;0;0;0;0;0;0;0
Caperdonich;Caperdonic;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;-9;3;73;40;HIGH;SPEY;0;0;1;0;0;0;0;0;0
Cardhu;Cardhu;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;12;3;72;40;HIGH;SPEY;0;0;1;0;0;0;0;0;0
