"","MS_SubClass","MS_Zoning","Lot_Frontage","Lot_Area","Street","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Year_Built","Year_Remod_Add","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_SF_1","BsmtFin_Type_2","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","Heating","Heating_QC","Central_Air","Electrical","First_Flr_SF","Second_Flr_SF","Low_Qual_Fin_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","Kitchen_Qual","TotRms_AbvGrd","Functional","Fireplaces","Fireplace_Qu","Garage_Type","Garage_Finish","Garage_Cars","Garage_Area","Garage_Qual","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Pool_Area","Pool_QC","Fence","Misc_Feature","Misc_Val","Mo_Sold","Year_Sold","Sale_Type","Sale_Condition","Sale_Price","Longitude","Latitude"
"1","One_Story_1946_and_Newer_All_Styles","Residential_High_Density",80,11622,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","North_Ames","Feedr","Norm","OneFam","One_Story","Average","Above_Average",1961,1961,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","CBlock","Typical","Typical","No","Rec",6,"LwQ",144,270,882,"GasA","Typical","Y","SBrkr",896,0,0,896,0,0,1,0,2,1,"Typical",5,"Typ",0,"No_Fireplace","Attchd","Unf",1,730,"Typical","Typical","Paved",140,0,0,0,120,0,"No_Pool","Minimum_Privacy","None",0,6,2010,"WD ","Normal",105000,-93.619756,42.053014
"2","Two_Story_1946_and_Newer","Residential_Low_Density",78,9978,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Above_Average","Above_Average",1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",20,"Typical","Typical","PConc","Typical","Typical","No","GLQ",3,"Unf",0,324,926,"GasA","Excellent","Y","SBrkr",926,678,0,1604,0,0,2,1,3,1,"Good",7,"Typ",1,"Good","Attchd","Fin",2,470,"Typical","Typical","Paved",360,36,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",195500,-93.638925,42.060779
"3","Two_Story_1946_and_Newer","Residential_Low_Density",60,7500,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Good","Average",1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","PConc","Typical","Typical","No","Unf",7,"Unf",0,994,994,"GasA","Good","Y","SBrkr",1028,776,0,1804,0,0,2,1,3,1,"Good",7,"Typ",1,"Typical","Attchd","Fin",2,442,"Typical","Typical","Paved",140,60,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",189000,-93.639068,42.059193
"4","Two_Story_1946_and_Newer","Residential_Low_Density",63,8402,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Above_Average","Average",1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,789,789,"GasA","Good","Y","SBrkr",789,676,0,1465,0,0,2,1,3,1,"Typical",7,"Typ",1,"Good","Attchd","Fin",2,393,"Typical","Typical","Paved",0,75,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",180400,-93.638647,42.058151
"5","Two_Story_1946_and_Newer","Residential_Low_Density",47,53504,"Pave","No_Alley_Access","Moderately_Irregular","HLS","AllPub","CulDSac","Mod","Stone_Brook","Norm","Norm","OneFam","Two_Story","Very_Good","Average",2003,2003,"Hip","CompShg","CemntBd","Wd Shng","BrkFace",603,"Excellent","Typical","PConc","Good","Typical","Gd","ALQ",1,"Unf",0,234,1650,"GasA","Excellent","Y","SBrkr",1690,1589,0,3279,1,0,3,1,4,1,"Excellent",12,"Mod",1,"Good","BuiltIn","Fin",3,841,"Typical","Typical","Paved",503,36,0,0,210,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",538000,-93.62655,42.061239
"6","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",105,11751,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northwest_Ames","Norm","Norm","OneFam","One_Story","Above_Average","Above_Average",1977,1977,"Hip","CompShg","Plywood","Plywood","BrkFace",480,"Typical","Typical","CBlock","Good","Typical","No","BLQ",2,"Unf",0,1139,1844,"GasA","Excellent","Y","SBrkr",1844,0,0,1844,0,0,2,0,3,1,"Typical",7,"Typ",1,"Typical","Attchd","RFn",2,546,"Typical","Typical","Paved",0,122,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,1,2010,"COD","Normal",190000,-93.633962,42.050346
"7","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,12537,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","CulDSac","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Average","Above_Average",1971,2008,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","CBlock","Typical","Typical","No","GLQ",3,"Unf",0,344,1078,"GasA","Excellent","Y","SBrkr",1078,0,0,1078,1,0,1,1,3,1,"Typical",6,"Typ",1,"Fair","Attchd","Fin",2,500,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",149900,-93.626537,42.054592
"8","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",70,8400,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Below_Average","Average",1970,1970,"Gable","CompShg","Plywood","Plywood","None",0,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Rec",78,0,882,"GasA","Typical","Y","SBrkr",882,0,0,882,1,0,1,0,2,1,"Typical",4,"Typ",0,"No_Fireplace","Attchd","Fin",2,525,"Typical","Typical","Paved",240,0,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,4,2010,"WD ","Normal",126000,-93.627112,42.053395
"9","One_Story_PUD_1946_and_Newer","Residential_High_Density",26,5858,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","FR2","Gtl","North_Ames","Norm","Norm","TwnhsE","One_Story","Good","Average",1999,1999,"Gable","CompShg","MetalSd","MetalSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"BLQ",0,354,1405,"GasA","Excellent","Y","SBrkr",1337,0,0,1337,1,0,2,0,2,1,"Good",5,"Typ",1,"Fair","Attchd","Fin",2,511,"Typical","Typical","Paved",203,68,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",184000,-93.624373,42.055318
"10","Two_Story_PUD_1946_and_Newer","Residential_Medium_Density",21,1680,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Briardale","Norm","Norm","Twnhs","Two_Story","Above_Average","Average",1971,1971,"Gable","CompShg","HdBoard","ImStucc","BrkFace",381,"Typical","Typical","CBlock","Typical","Typical","No","Unf",7,"Unf",0,525,525,"GasA","Typical","Y","SBrkr",525,567,0,1092,0,0,1,1,3,1,"Typical",6,"Typ",0,"No_Fireplace","Detchd","Unf",1,264,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Family",88000,-93.62728,42.051685
"11","One_Story_PUD_1946_and_Newer","Residential_Low_Density",24,2280,"Pave","No_Alley_Access","Regular","Lvl","AllPub","FR2","Gtl","Northpark_Villa","Norm","Norm","Twnhs","One_Story","Good","Above_Average",1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,"Typical","Typical","CBlock","Good","Typical","No","Unf",7,"Unf",0,836,836,"GasA","Excellent","Y","SBrkr",836,0,0,836,0,0,1,0,2,1,"Typical",4,"Typ",0,"No_Fireplace","Attchd","Unf",1,308,"Typical","Typical","Paved",0,30,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",120000,-93.625966,42.050681
